Clock,SecondsRemain
Q1 15:00,3600
Q1 14:59,3599
Q1 14:58,3598
Q1 14:57,3597
Q1 14:56,3596
Q1 14:55,3595
Q1 14:54,3594
Q1 14:53,3593
Q1 14:52,3592
Q1 14:51,3591
Q1 14:50,3590
Q1 14:49,3589
Q1 14:48,3588
Q1 14:47,3587
Q1 14:46,3586
Q1 14:45,3585
Q1 14:44,3584
Q1 14:43,3583
Q1 14:42,3582
Q1 14:41,3581
Q1 14:40,3580
Q1 14:39,3579
Q1 14:38,3578
Q1 14:37,3577
Q1 14:36,3576
Q1 14:35,3575
Q1 14:34,3574
Q1 14:33,3573
Q1 14:32,3572
Q1 14:31,3571
Q1 14:30,3570
Q1 14:29,3569
Q1 14:28,3568
Q1 14:27,3567
Q1 14:26,3566
Q1 14:25,3565
Q1 14:24,3564
Q1 14:23,3563
Q1 14:22,3562
Q1 14:21,3561
Q1 14:20,3560
Q1 14:19,3559
Q1 14:18,3558
Q1 14:17,3557
Q1 14:16,3556
Q1 14:15,3555
Q1 14:14,3554
Q1 14:13,3553
Q1 14:12,3552
Q1 14:11,3551
Q1 14:10,3550
Q1 14:09,3549
Q1 14:08,3548
Q1 14:07,3547
Q1 14:06,3546
Q1 14:05,3545
Q1 14:04,3544
Q1 14:03,3543
Q1 14:02,3542
Q1 14:01,3541
Q1 13:00,3540
Q1 13:59,3539
Q1 13:58,3538
Q1 13:57,3537
Q1 13:56,3536
Q1 13:55,3535
Q1 13:54,3534
Q1 13:53,3533
Q1 13:52,3532
Q1 13:51,3531
Q1 13:50,3530
Q1 13:49,3529
Q1 13:48,3528
Q1 13:47,3527
Q1 13:46,3526
Q1 13:45,3525
Q1 13:44,3524
Q1 13:43,3523
Q1 13:42,3522
Q1 13:41,3521
Q1 13:40,3520
Q1 13:39,3519
Q1 13:38,3518
Q1 13:37,3517
Q1 13:36,3516
Q1 13:35,3515
Q1 13:34,3514
Q1 13:33,3513
Q1 13:32,3512
Q1 13:31,3511
Q1 13:30,3510
Q1 13:29,3509
Q1 13:28,3508
Q1 13:27,3507
Q1 13:26,3506
Q1 13:25,3505
Q1 13:24,3504
Q1 13:23,3503
Q1 13:22,3502
Q1 13:21,3501
Q1 13:20,3500
Q1 13:19,3499
Q1 13:18,3498
Q1 13:17,3497
Q1 13:16,3496
